time,ax_measure,ax_ideal
5.809,0.03601832744847599,-0.035022183269532194
5.8100000000000005,-0.04164194547945919,-0.03356421581066771
5.811,-0.031501139777262904,-0.03210780302066006
5.812,0.020234267259380705,-0.030652951470117602
5.813,-0.08619091422530722,-0.02919966771075039
5.814,0.033488615445054534,-0.0277479582753259
5.815,-0.045601287362787755,-0.026297829677642808
5.816,-0.006970057007692307,-0.024849288412494088
5.817,-0.026195944738760864,-0.023402340955629094
5.8180000000000005,0.03987542040616832,-0.021956993763727242
5.819,-0.023283536375031347,-0.020513253274361334
5.82,-0.01676454120796327,-0.019071125905960374
5.821,-0.026396453743992458,-0.01763061805778568
5.822,-0.01091680134434545,-0.016191736109888045
5.823,-0.051364974796944636,-0.014754486423084192
5.824,-0.03503367396536905,-0.013318875338920885
5.825,-0.007271472540346704,-0.011884909179638997
5.8260000000000005,-0.04516255114306074,-0.010452594248149724
5.827,-0.02491804025193075,-0.009021936827998981
5.828,0.003148690247380722,-0.00759294318333218
5.829,0.05504637221693797,-0.006165619558872834
5.83,0.01768015551102864,-0.004739972179880874
5.831,0.008454753512678138,-0.003316007252131135
5.832,-0.007693748054440326,-0.0018937309618796984
5.833,-0.009494823859816998,-0.0004731494758294226
5.8340000000000005,-0.046823260248909225,0.0009457310588921269
5.835,-0.0038559092424818335,0.0023629045147660673
5.836,0.04198528435420135,0.0037783647839150325
5.837,0.007513728441904614,0.005192105778124147
5.838,0.04605236940705095,0.006604121428879846
5.839,0.0342283732691475,0.00801440568738922
5.84,0.05835455783416476,0.009422952524613023
5.841,0.03556785684075817,0.01082975593129684
5.8420000000000005,0.001761763078891497,0.012234809917992511
5.843,0.04414926917871858,0.01363810851508861
5.844,0.022660901552858992,0.01503964577284277
5.845,0.05991148991006892,0.016439415761399248
5.846,0.013240234689856998,0.01783741257082658
5.847,0.0316937469589502,0.01923363031113569
5.848,0.007049995492223897,0.02062806311230962
5.849,0.023746363846364252,0.022020705124334496
5.8500000000000005,0.03644200351124584,0.023411550517217432
5.851,0.07111883795767025,0.02480059348101634
5.852,0.09696234947871192,0.02618782822586981
5.853,0.009472314758724242,0.027573248982013056
5.854,0.012061309798600033,0.02895684999981361
5.855,0.0715109374340122,0.03033862554978727
5.856,0.0205605454326028,0.03171856992262686
5.857,0.021614930943795053,0.03309667742923005
5.8580000000000005,0.004044241511939221,0.034472942400716404
5.859,0.08085795824102038,0.03584735918845519
5.86,0.06633433185152554,0.03721992216409263
5.861,0.039447149212106035,0.03859062571956688
5.862,0.021095640123968567,0.03995946426714153
5.863,0.018955317136958465,0.0413264322394196
5.864,0.11219237317270767,0.042691524089370304
5.865,0.018293896807465997,0.04405473429035535
5.8660000000000005,0.026544302698968927,0.04541605733614392
5.867,0.004368889893003082,0.04677548774093863
5.868,0.05836113025630243,0.04813302003940102
5.869,0.041645352144209495,0.04948864878666463
5.87,-0.0061986782304456894,0.050842368558366054
5.871,0.07676606823547134,0.052194173950658056
5.872,0.04860560571373743,0.0535440595802341
5.873,0.023626040685735407,0.054892020084352365
5.8740000000000006,0.016931523527943533,0.0562380501208494
5.875,0.10184647347630299,0.05758214436816373
5.876,0.07713061789045408,0.05892429752535996
5.877,0.08024027621618143,0.06026450431213966
5.878,0.12233137881507936,0.06160275946887083
5.8790000000000004,0.06682411183906652,0.06293905775659892
5.88,0.12688280258963608,0.06427339395706934
5.881,0.0758224911428018,0.06560576287275004
5.882000000000001,0.02568398848193073,0.06693615932684302
5.883,0.0946345782443064,0.06826457816330636
5.884,0.05193016185491629,0.06959101424687601
5.885,0.043458754048928246,0.07091546246307504
5.886,0.08816878255764454,0.07223791771824133
5.8870000000000005,0.07560319494561768,0.07355837493953674
5.888,0.08442925855290677,0.0748768290749675
5.889,0.07679260585818326,0.07619327509340539
5.89,0.07096123853262352,0.0775077079845958
5.891,0.0713455984922051,0.07882012275918368
5.892,0.0698743809843666,0.08013051444872216
5.893,0.03456929186498071,0.08143887810569167
5.894,0.08732508200858745,0.08274520880351957
5.8950000000000005,0.04307961231748842,0.08404950163658861
5.896,0.10432200800689179,0.08535175172025596
5.897,0.0579028122403287,0.08665195419087202
5.898,0.12574395557272158,0.08795010420578693
5.899,0.021359876319668625,0.08924619694337474
5.9,0.059485194534572246,0.09054022760303952
5.901,0.06847041333044762,0.09183219140523388
5.902,0.10859268813713392,0.0931220835914752
5.9030000000000005,0.08284684286669464,0.09440989942435364
5.904,0.10724614075638608,0.09569563418754858
5.905,0.14044137340729482,0.09697928318584567
5.906,0.14174456730894683,0.09826084174514148
5.907,0.07387969878872039,0.09954030521246605
5.908,0.06082407639298514,0.10081766895598707
5.909,0.08012835850245711,0.10209292836502629
5.91,0.09073500028170198,0.10336607885007457
5.9110000000000005,0.10505790992991193,0.10463711584279711
5.912,0.08409940631225198,0.10590603479604885
5.913,0.16344651813654554,0.1071728311838893
5.914,0.14109161859745709,0.10843750050158554
5.915,0.12342381798712186,0.10970003826563277
5.916,0.10109063428295317,0.11096044001375682
5.917,0.10891834912039872,0.11221870130492856
5.918,0.07588393489256218,0.11347481771937708
5.9190000000000005,0.12542223307256023,0.11472878485859374
5.92,0.07641259961893732,0.11598059834534463
5.921,0.08331626995519031,0.11723025382368442
5.922,0.12270003346671275,0.11847774695895755
5.923,0.0802789452671098,0.11972307343781609
5.924,0.13836565664986075,0.12096622896822165
5.925,0.11114965758984668,0.12220720927945712
5.926,0.1081515469600913,0.12344601012213828
5.9270000000000005,0.11170631732425058,0.12468262726821575
5.928,0.1259661305263578,0.1259170565109866
5.929,0.18152401952294547,0.12714929366510502
